citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number
70 FR 28413, 05-9892,28414,https://www.federalregister.gov/documents/2005/05/17/05-9892/amendments-to-executive-order-12788-relating-to-the-defense-economic-adjustment-program,https://www.govinfo.gov/content/pkg/FR-2005-05-17/pdf/05-9892.pdf,Presidential Document,Executive Order,05/17/2005,05/12/2005,28413,Amendments to Executive Order 12788 Relating to the Defense Economic Adjustment Program,"Amends: EO 12788, January 15, 1992",13378
70 FR 20259, 05-7830,20261,https://www.federalregister.gov/documents/2005/04/18/05-7830/amendments-to-executive-order-12863-relating-to-the-presidents-foreign-intelligence-advisory-board,https://www.govinfo.gov/content/pkg/FR-2005-04-18/pdf/05-7830.pdf,Presidential Document,Executive Order,04/18/2005,04/13/2005,20259,"Amendments to Executive Order 12863, Relating to the President's Foreign Intelligence Advisory Board","Amends: EO 12863, September 13, 1993; See: EO 13070, December 15, 1997; EO 13301, May 14, 2003",13376
70 FR 20263, 05-7831,20263,https://www.federalregister.gov/documents/2005/04/18/05-7831/designating-the-african-union-as-a-public-international-organization-entitled-to-enjoy-certain,https://www.govinfo.gov/content/pkg/FR-2005-04-18/pdf/05-7831.pdf,Presidential Document,Executive Order,04/18/2005,04/13/2005,20263,"Designating the African Union as a Public International Organization Entitled To Enjoy Certain Privileges, Exemptions, and Immunities","Revokes: EO 11767, February 19, 1974",13377
70 FR 17299, 05-6907,17299,https://www.federalregister.gov/documents/2005/04/05/05-6907/amendment-to-executive-order-13295-relating-to-certaininfluenza-viruses-and-quarantinable,https://www.govinfo.gov/content/pkg/FR-2005-04-05/pdf/05-6907.pdf,Presidential Document,Executive Order,04/05/2005,04/01/2005,17299,"Amendment to Executive Order 13295 Relating to Certain
Influenza Viruses and Quarantinable Communicable Diseases","Amends: EO 13295, April 4, 2003",13375
70 FR 12961, 05-5434,12962,https://www.federalregister.gov/documents/2005/03/17/05-5434/amendments-to-executive-order-12293the-foreign-service-of-the-united-states,https://www.govinfo.gov/content/pkg/FR-2005-03-17/pdf/05-5434.pdf,Presidential Document,Executive Order,03/17/2005,03/14/2005,12961,Amendments to Executive Order 12293—The Foreign Service of the United States,"Amends: EO 12293, February 23, 1981; Revokes: EO 13325, January 23, 2004",13374
70 FR 12577, 05-5097,12580,https://www.federalregister.gov/documents/2005/03/14/05-5097/amendments-to-executive-order-11926-relating-to-the-vice-presidential-service-badge,https://www.govinfo.gov/content/pkg/FR-2005-03-14/pdf/05-5097.pdf,Presidential Document,Executive Order,03/14/2005,03/10/2005,12577,Amendments to Executive Order 11926 Relating to the Vice Presidential Service Badge,"Amends: EO 11926, July 19, 1976; See: EO 13286, February 28, 2003",13373
70 FR 8499, 05-3385,8500,https://www.federalregister.gov/documents/2005/02/18/05-3385/clarification-of-certain-executive-orders-blocking-property-and-prohibiting-certain-transactions,https://www.govinfo.gov/content/pkg/FR-2005-02-18/pdf/05-3385.pdf,Presidential Document,Executive Order,02/18/2005,02/16/2005,8499,Clarification of Certain Executive Orders Blocking Property and Prohibiting Certain Transactions,"Amends: EO 12947, January 23, 1995; EO 13224, September 23, 2001; See: EO 13099, August 20, 1998; EO 13268, July 2, 2002; EO 13284, January 23, 2003",13372
70 FR 5039, 05-1886,5042,https://www.federalregister.gov/documents/2005/01/31/05-1886/amendments-to-executive-order-13285-relating-to-the-presidents-council-on-service-and-civic,https://www.govinfo.gov/content/pkg/FR-2005-01-31/pdf/05-1886.pdf,Presidential Document,Executive Order,01/31/2005,01/27/2005,5039,"Amendments to Executive Order 13285, Relating to the President's Council on Service and Civic Participation","Amends: EO 13285, January 29, 2003",13371
70 FR 3135, 05-1170,3138,https://www.federalregister.gov/documents/2005/01/19/05-1170/providing-an-order-of-succession-in-the-office-of-management-and-budget,https://www.govinfo.gov/content/pkg/FR-2005-01-19/pdf/05-1170.pdf,Presidential Document,Executive Order,01/19/2005,01/13/2005,3135,Providing an Order of Succession in the Office of Management and Budget,"",13370
70 FR 2323, 05-771,2324,https://www.federalregister.gov/documents/2005/01/12/05-771/presidents-advisory-panel-on-federal-tax-reform,https://www.govinfo.gov/content/pkg/FR-2005-01-12/pdf/05-771.pdf,Presidential Document,Executive Order,01/12/2005,01/07/2005,2323,President's Advisory Panel on Federal Tax Reform,"Amended by: EO 13379, June 16, 2005; EO 13386, September 30, 2005; Revoked by: EO 13446, September 28, 2007",13369
