citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number
60 FR 66855, 95-31437,66855,https://www.federalregister.gov/documents/1995/12/27/95-31437/amendment-to-executive-order-no-12871,https://www.govinfo.gov/content/pkg/FR-1995-12-27/pdf/95-31437.pdf,Presidential Document,Executive Order,12/27/1995,12/21/1995,66855,Amendment to Executive Order No. 12871,"Amends: EO 12871, October 1, 1993;;
 ;  See: EO 13156, May 17, 2000; EO 13203, February 17, 2001",12983
60 FR 63895, 95-30451,63895,https://www.federalregister.gov/documents/1995/12/12/95-30451/ordering-the-selected-reserve-of-the-armed-forces-to-active-duty,https://www.govinfo.gov/content/pkg/FR-1995-12-12/pdf/95-30451.pdf,Presidential Document,Executive Order,12/12/1995,12/08/1995,63895,Ordering the Selected Reserve of the Armed Forces to Active Duty,"Amends: EO 13286, February 28, 2003;;
 ;  See: Department of Defense notice of February 11, 1997 (62 FR 6953)",12982
60 FR 62981, 95-30106,62985,https://www.federalregister.gov/documents/1995/12/08/95-30106/administration-of-export-controls,https://www.govinfo.gov/content/pkg/FR-1995-12-08/pdf/95-30106.pdf,Presidential Document,Executive Order,12/08/1995,12/05/1995,62981,Administration of Export Controls,"Amended by: EO 13020, October 12, 1996; EO 13026, November 15, 1996;;
 ;  See: EO 11533, June 4, 1970; EO 12002, July 7, 1977; EO 12924, August 19, 1994; EO 13206, April 4, 2001",12981
60 FR 57819, 95-28630,57819,https://www.federalregister.gov/documents/1995/11/21/95-28630/further-amendment-to-executive-order-no-12852-as-amended,https://www.govinfo.gov/content/pkg/FR-1995-11-21/pdf/95-28630.pdf,Presidential Document,Executive Order,11/21/1995,11/17/1995,57819,"Further Amendment to Executive Order No. 12852, as Amended","Amends: EO 12852, June 29, 1993;;
 ;  Note: EO 12980 is nullified by virtue of the Council being abolished by EO 13138, September 30, 1999.",12980
60 FR 55171, 95-26944,55172,https://www.federalregister.gov/documents/1995/10/27/95-26944/agency-procurement-protests,https://www.govinfo.gov/content/pkg/FR-1995-10-27/pdf/95-26944.pdf,Presidential Document,Executive Order,10/27/1995,10/25/1995,55171,Agency Procurement Protests,"",12979
60 FR 54411, 95-26497,54412,https://www.federalregister.gov/documents/1995/10/24/95-26497/interagency-security-committee,https://www.govinfo.gov/content/pkg/FR-1995-10-24/pdf/95-26497.pdf,Presidential Document,Executive Order,10/24/1995,10/19/1995,54411,Interagency Security Committee,"Amends: EO 13286, February 28, 2003",12977
60 FR 54579, 95-26569,54580,https://www.federalregister.gov/documents/1995/10/24/95-26569/blocking-assets-and-prohibiting-transactions-with-significant-narcotics-traffickers,https://www.govinfo.gov/content/pkg/FR-1995-10-24/pdf/95-26569.pdf,Presidential Document,Executive Order,10/24/1995,10/21/1995,54579,Blocking Assets and Prohibiting Transactions With Significant Narcotics Traffickers,"Amended by: EO 13286, February 28, 2003;;
 ;  See: Notice of October 16, 1996; Notice of October 17, 1997; Notice of October 19, 1998; Notice of October 19, 1999; Notice of October 19, 2000; Notice of October 16, 2001; Notice of October 16, 2002; Notice of October 16, 2003; Notice of October 19, 2004; Notice of October 19, 2005; Notice of October 19, 2006; Notice of October 18, 2007; Notice of October 16, 2008; Notice of October 16, 2009",12978
60 FR 52829, 95-25256,52830,https://www.federalregister.gov/documents/1995/10/10/95-25256/compensation-practices-of-government-corporations,https://www.govinfo.gov/content/pkg/FR-1995-10-10/pdf/95-25256.pdf,Presidential Document,Executive Order,10/10/1995,10/05/1995,52829,Compensation Practices of Government Corporations,"",12976
60 FR 52063, 95-24921,52065,https://www.federalregister.gov/documents/1995/10/05/95-24921/protection-of-human-research-subjects-and-creation-of-national-bioethics-advisory-commission,https://www.govinfo.gov/content/pkg/FR-1995-10-05/pdf/95-24921.pdf,Presidential Document,Executive Order,10/05/1995,10/03/1995,52063,Protection of Human Research Subjects and Creation of National Bioethics Advisory Commission,"Amended by: EO 13018, September 16, 1996; EO 13046, May 16, 1997; EO 13137, September 15, 1999;;
 ;  Revoked by: EO 13316, September 17, 2003",12975
60 FR 51875, 95-24754,51876,https://www.federalregister.gov/documents/1995/10/03/95-24754/continuance-of-certain-federal-advisory-committees,https://www.govinfo.gov/content/pkg/FR-1995-10-03/pdf/95-24754.pdf,Presidential Document,Executive Order,10/03/1995,09/29/1995,51875,Continuance of Certain Federal Advisory Committees,"Continues certain committee established by: EO 11145, March 7, 1964; EO 11183, October 3, 1964; EO 11287, October 24, 1964; EO 11776, March 28, 1974; EO 12131, May 4, 1979; EO 12196, February 26, 1980; EO 12216, June 18, 1980; EO 12345, February 2, 1982; EO 12367, June 15, 1982; EO 12382, September 13, 1982; EO 12871, October 1, 1993; EO 12876, November 1, 1993; EO 12882, November 23, 1993; EO 12900, February 22, 1994; EO 12905, March 25, 1994;  Revokes in part: EO 12844, April 21, 1993; Supersedes: EO 12869, September 30, 1993; Revokes: EO 12878, November 5, 1993; Superseded by: EO 13062, September 29, 1997; See: EO 12887, December 23, 1993; EO 12912, April 29, 1994",12974
60 FR 51665, 95-24649,51665,https://www.federalregister.gov/documents/1995/10/02/95-24649/amendment-to-executive-order-no-12901,https://www.govinfo.gov/content/pkg/FR-1995-10-02/pdf/95-24649.pdf,Presidential Document,Executive Order,10/02/1995,09/27/1995,51665,Amendment to Executive Order No. 12901,"Amends: EO 12901, March 3, 1994",12973
60 FR 48863, 95-23581,48863,https://www.federalregister.gov/documents/1995/09/21/95-23581/amendment-to-executive-order-no-12958,https://www.govinfo.gov/content/pkg/FR-1995-09-21/pdf/95-23581.pdf,Presidential Document,Executive Order,09/21/1995,09/18/1995,48863,Amendment to Executive Order No. 12958,"Amends: EO 12958, April 17, 1995",12972
60 FR 48617, 95-23423,48617,https://www.federalregister.gov/documents/1995/09/19/95-23423/amendment-to-executive-order-no-12425,https://www.govinfo.gov/content/pkg/FR-1995-09-19/pdf/95-23423.pdf,Presidential Document,Executive Order,09/19/1995,09/15/1995,48617,Amendment to Executive Order No. 12425,"Amends: EO 12425, June 6, 1983",12971
60 FR 48359, 95-23338,48359,https://www.federalregister.gov/documents/1995/09/18/95-23338/further-amendment-to-executive-order-no-12864,https://www.govinfo.gov/content/pkg/FR-1995-09-18/pdf/95-23338.pdf,Presidential Document,Executive Order,09/18/1995,09/14/1995,48359,Further Amendment to Executive Order No. 12864,"Amends: EO 12864, September 15, 1993;;
 ;  Revoked by: EO 13062, September 29, 1997",12970
60 FR 40989, 95-19972,40992,https://www.federalregister.gov/documents/1995/08/10/95-19972/federal-acquisition-and-community-right-to-know,https://www.govinfo.gov/content/pkg/FR-1995-08-10/pdf/95-19972.pdf,Presidential Document,Executive Order,08/10/1995,08/08/1995,40989,Federal Acquisition and Community Right-To-Know,"Revoked by: EO 13148, April 21, 2000;;
 ;  See: EO 13101, September 14, 1998",12969
60 FR 40245, 95-19654,40254,https://www.federalregister.gov/documents/1995/08/07/95-19654/access-to-classified-information,https://www.govinfo.gov/content/pkg/FR-1995-08-07/pdf/95-19654.pdf,Presidential Document,Executive Order,08/07/1995,08/02/1995,40245,Access to Classified Information,"Amended by: EO 13467, June 30, 2008;;
 ;  See: Final rule of March 26, 1997 (62 FR 17683); Final rule of July 1, 1997 (62 FR 36984); EO 13284, January 23, 2003; EO 13311, July 29, 2003; EO 13462, February 29, 2008; EO 13516, October 28, 2009; EO 13539, April 21, 2010; EO 13549, August 18, 2010",12968
60 FR 39623, 95-19174,39624,https://www.federalregister.gov/documents/1995/08/02/95-19174/establishing-an-emergency-board-to-investigate-disputes-between-metro-north-commuter-railroad-and,https://www.govinfo.gov/content/pkg/FR-1995-08-02/pdf/95-19174.pdf,Presidential Document,Executive Order,08/02/1995,07/31/1995,39623,Establishing an Emergency Board To Investigate Disputes Between Metro North Commuter Railroad and Its Employees Represented by Certain Labor Organizations,"",12967
60 FR 36949, 95-17828,36949,https://www.federalregister.gov/documents/1995/07/18/95-17828/foreign-disaster-assistance,https://www.govinfo.gov/content/pkg/FR-1995-07-18/pdf/95-17828.pdf,Presidential Document,Executive Order,07/18/1995,07/14/1995,36949,Foreign Disaster Assistance,"",12966
60 FR 34087, 95-16320,34087,https://www.federalregister.gov/documents/1995/06/30/95-16320/further-amendment-to-executive-order-no-12852,https://www.govinfo.gov/content/pkg/FR-1995-06-30/pdf/95-16320.pdf,Presidential Document,Executive Order,06/30/1995,06/27/1995,34087,Further Amendment to Executive Order No. 12852,"Amends: EO 12852, June 29, 1993;;
 ;  Note: EO 12965 is nullified by virtue of the Council being abolished by EO 13138, September 30, 1999.",12965
60 FR 33095, 95-15760,33096,https://www.federalregister.gov/documents/1995/06/26/95-15760/commission-on-united-states-pacific-trade-and-investment-policy,https://www.govinfo.gov/content/pkg/FR-1995-06-26/pdf/95-15760.pdf,Presidential Document,Executive Order,06/26/1995,06/21/1995,33095,Commission on United States-Pacific Trade and Investment Policy,"Amended by: EO 12987, January 31, 1996; EO 13032, December 26, 1996
Revoked by: EO 13062, September 29, 1997",12964
60 FR 31905, 95-14983,31906,https://www.federalregister.gov/documents/1995/06/16/95-14983/presidential-advisory-council-on-hivaids,https://www.govinfo.gov/content/pkg/FR-1995-06-16/pdf/95-14983.pdf,Presidential Document,Executive Order,06/16/1995,06/14/1995,31905,Presidential Advisory Council on HIV/AIDS,"Amended by: EO 13009, June 14, 1996
Continued by: EO 13708, September 30, 2015; EO 13811, September 29, 2017",12963
60 FR 30769, 95-14407,30770,https://www.federalregister.gov/documents/1995/06/09/95-14407/recreational-fisheries,https://www.govinfo.gov/content/pkg/FR-1995-06-09/pdf/95-14407.pdf,Presidential Document,Executive Order,06/09/1995,06/07/1995,30769,Recreational Fisheries,"Amended by: EO 13474, September 26, 2008 ",12962
60 FR 28507, 95-13484,28508,https://www.federalregister.gov/documents/1995/05/31/95-13484/presidential-advisory-committee-on-gulf-war-veterans-illnesses,https://www.govinfo.gov/content/pkg/FR-1995-05-31/pdf/95-13484.pdf,Presidential Document,Executive Order,05/31/1995,05/26/1995,28507,Presidential Advisory Committee on Gulf War Veterans' Illnesses,"",12961
60 FR 26647, 95-12285,26666,https://www.federalregister.gov/documents/1995/05/17/95-12285/amendments-to-the-manual-for-courts-martial-united-states-1984,https://www.govinfo.gov/content/pkg/FR-1995-05-17/pdf/95-12285.pdf,Presidential Document,Executive Order,05/17/1995,05/12/1995,26647,"Amendments to the Manual for Courts-Martial, United States, 1984","",12960
60 FR 24757, 95-11694,24759,https://www.federalregister.gov/documents/1995/05/09/95-11694/prohibiting-certain-transactions-with-respect-to-iran,https://www.govinfo.gov/content/pkg/FR-1995-05-09/pdf/95-11694.pdf,Presidential Document,Executive Order,05/09/1995,05/06/1995,24757,Prohibiting Certain Transactions With Respect to Iran,"Revokes in part and supplements: EO 12613, October 29, 1987;EO 12957, March 15, 1995; Revoked in part by: EO 13059, August 19, 1997; See: Notice of March 8, 1996; Notice of March 5, 1997; Notice of March 4, 1998; Notice of March 10, 1999; Notice of March 13, 2000; Notice of March 13, 2001; Notice of March 13, 2002; Notice of March 12, 2003; Notice of March 10, 2004; Notice of March 10, 2005; Notice of March 13, 2006; Notice of March 8, 2007; Notice of March 11, 2008; Notice of March 11, 2009; Notice of March 10, 2010; EO 13628, October 9, 2012",12959
